"Painting","Year","Y","Color","Size"
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Hauptregister mit Szenen zu Christi Passion; Szenen by Duccio",1308,25,"#6d3f1c",0.427450980392
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Hauptregister mit Szenen zu Christi Passion; Szenen by Duccio",1308,24,"#753f19",0.458823529412
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Hauptregister mit Szenen zu Christi Passion; Szenen by Duccio",1308,28,"#966131",0.588235294118
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Hauptregister mit Szenen zu Christi Passion; Szenen by Duccio",1308,21,"#8c5333",0.549019607843
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Hauptregister mit Szenen zu Christi Passion; Szenen by Duccio",1308,28,"#9e6736",0.619607843137
"Maestà; Altarretabel des Sieneser Doms; Vorderseite; Predella mit Szenen aus der Kindheit Jesu und Propheten; Szene by Duccio",1308,34,"#946f3c",0.580392156863
"Maestà; Altarretabel des Sieneser Doms; Vorderseite; Predella mit Szenen aus der Kindheit Jesu und Propheten; Szene by Duccio",1308,37,"#bba074",0.733333333333
"Maestà; Altarretabel des Sieneser Doms; Vorderseite; Predella mit Szenen aus der Kindheit Jesu und Propheten; Szene by Duccio",1308,18,"#170e0a",0.0901960784314
"Maestà; Altarretabel des Sieneser Doms; Vorderseite; Predella mit Szenen aus der Kindheit Jesu und Propheten; Szene by Duccio",1308,26,"#c3b4a8",0.764705882353
"Maestà; Altarretabel des Sieneser Doms; Vorderseite; Predella mit Szenen aus der Kindheit Jesu und Propheten; Szene by Duccio",1308,40,"#ae9460",0.682352941176
"Maestà; Altarretabel des Sieneser Doms; Vorderseite; Predella mit Szenen aus der Kindheit Jesu und Propheten; Szene by Duccio",1308,15,"#51281a",0.317647058824
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Hauptregister mit Szenen zu Christi Passion; Szene by Duccio",1308,25,"#724423",0.447058823529
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Hauptregister mit Szenen zu Christi Passion; Szenen by Duccio",1308,33,"#986d36",0.596078431373
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Hauptregister mit Szenen zu Christi Passion; Szene by Duccio",1308,29,"#a06f40",0.627450980392
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Hauptregister mit Szenen zu Christi Passion; Szenen by Duccio",1308,36,"#977744",0.592156862745
"Maestà; Altarretabel des Sieneser Doms; Rückseite; Predella mit Szenen zur Versuchung Christi und Wundertaten; Szene by Duccio",1308,43,"#9f8c5a",0.623529411765
